schema	audit-trace/v1
edge	AE-001	guards	AM-NAME-001
edge	AE-001	implemented-in	S1
edge	AE-001	proved-by	AT-001
edge	AE-001	proved-by	AT-002
edge	AE-002	guards	AM-CAT-001
edge	AE-002	implemented-in	S1
edge	AE-002	proved-by	AT-001
edge	AE-003	guards	AM-ALLOW-001
edge	AE-003	implemented-in	S1
edge	AE-003	proved-by	AT-002
edge	AE-004	guards	AM-ALLOW-001
edge	AE-004	implemented-in	S1
edge	AE-004	proved-by	AT-002
edge	AE-005	guards	AM-ALLOW-001
edge	AE-005	implemented-in	S1
edge	AE-005	proved-by	AT-002
edge	AE-006	guards	AM-ALLOW-001
edge	AE-006	implemented-in	S1
edge	AE-006	proved-by	AT-002
edge	AE-007	guards	AM-CODEC-001
edge	AE-007	guards	AM-SEMANTICS-001
edge	AE-007	implemented-in	S1
edge	AE-007	implemented-in	S2
edge	AE-007	proved-by	AT-002
edge	AE-008	guards	AM-CODEC-001
edge	AE-008	implemented-in	S1
edge	AE-008	implemented-in	S2
edge	AE-008	proved-by	AT-002
edge	AE-009	guards	AM-CODEC-001
edge	AE-009	implemented-in	S1
edge	AE-009	implemented-in	S2
edge	AE-009	proved-by	AT-002
edge	AE-010	guards	AM-CONTEXT-001
edge	AE-010	implemented-in	S1
edge	AE-010	implemented-in	S2
edge	AE-010	proved-by	AT-002
edge	AE-011	guards	AM-CONTEXT-001
edge	AE-011	implemented-in	S1
edge	AE-011	implemented-in	S2
edge	AE-011	proved-by	AT-002
edge	AE-012	guards	AM-CONTEXT-001
edge	AE-012	implemented-in	S1
edge	AE-012	implemented-in	S2
edge	AE-012	proved-by	AT-002
edge	AE-013	guards	AM-DENIAL-001
edge	AE-013	implemented-in	S2
edge	AE-013	implemented-in	S3
edge	AE-013	implemented-in	S6
edge	AE-013	proved-by	AT-008
edge	AE-013	proved-by	AT-014
edge	AE-014	guards	AM-DENIAL-001
edge	AE-014	implemented-in	S2
edge	AE-014	implemented-in	S3
edge	AE-014	implemented-in	S6
edge	AE-014	proved-by	AT-008
edge	AE-014	proved-by	AT-014
edge	AE-015	guards	AM-OUTCOME-001
edge	AE-015	implemented-in	S2
edge	AE-015	implemented-in	S5
edge	AE-015	proved-by	AT-005
edge	AE-015	proved-by	AT-008
edge	AE-016	guards	AM-ERROR-001
edge	AE-016	implemented-in	S2
edge	AE-016	implemented-in	S4
edge	AE-016	proved-by	AT-008
edge	AE-016	proved-by	AT-012
edge	AE-017	guards	AM-OBS-001
edge	AE-017	implemented-in	S2
edge	AE-017	implemented-in	S6
edge	AE-017	proved-by	AT-014
edge	AE-018	guards	AM-ERROR-001
edge	AE-018	implemented-in	S2
edge	AE-018	implemented-in	S5
edge	AE-018	proved-by	AT-008
edge	AE-019	guards	AM-SAVEPOINT-001
edge	AE-019	implemented-in	S4
edge	AE-019	implemented-in	S5
edge	AE-019	proved-by	AT-007
edge	AE-019	proved-by	AT-012
edge	AE-020	guards	AM-TOPO-001
edge	AE-020	implemented-in	S4
edge	AE-020	proved-by	AT-007
edge	AE-020	proved-by	AT-012
edge	AE-021	guards	AM-SINGLE-001
edge	AE-021	implemented-in	S1
edge	AE-021	implemented-in	S4
edge	AE-021	proved-by	AT-002
edge	AE-021	proved-by	AT-012
edge	AE-022	guards	AM-CRUD-001
edge	AE-022	implemented-in	S4
edge	AE-022	implemented-in	S5
edge	AE-022	proved-by	AT-012
edge	AE-022	proved-by	AT-013
edge	AE-023	guards	AM-CRUD-001
edge	AE-023	implemented-in	S4
edge	AE-023	implemented-in	S5
edge	AE-023	proved-by	AT-012
edge	AE-024	guards	AM-CRUD-001
edge	AE-024	implemented-in	S4
edge	AE-024	implemented-in	S5
edge	AE-024	proved-by	AT-012
edge	AE-025	guards	AM-CRUD-001
edge	AE-025	implemented-in	S4
edge	AE-025	implemented-in	S5
edge	AE-025	proved-by	AT-012
edge	AE-026	guards	AM-CRUD-001
edge	AE-026	implemented-in	S4
edge	AE-026	implemented-in	S5
edge	AE-026	proved-by	AT-012
edge	AE-027	guards	AM-CRUD-001
edge	AE-027	implemented-in	S4
edge	AE-027	implemented-in	S5
edge	AE-027	proved-by	AT-012
edge	AE-028	guards	AM-CRUD-001
edge	AE-028	implemented-in	S4
edge	AE-028	implemented-in	S5
edge	AE-028	proved-by	AT-012
edge	AE-029	guards	AM-READ-001
edge	AE-029	guards	AM-SCOPE-001
edge	AE-029	implemented-in	S3
edge	AE-029	implemented-in	S5
edge	AE-029	proved-by	AT-009
edge	AE-029	proved-by	AT-010
edge	AE-030	guards	AM-CURSOR-001
edge	AE-030	implemented-in	S3
edge	AE-030	implemented-in	S5
edge	AE-030	proved-by	AT-009
edge	AE-031	guards	AM-BOUNDS-001
edge	AE-031	implemented-in	S1
edge	AE-031	implemented-in	S2
edge	AE-031	implemented-in	S3
edge	AE-031	implemented-in	S5
edge	AE-031	proved-by	AT-002
edge	AE-031	proved-by	AT-009
edge	AE-031	proved-by	AT-011
edge	AE-032	guards	AM-READ-001
edge	AE-032	implemented-in	S3
edge	AE-032	implemented-in	S5
edge	AE-032	proved-by	AT-009
edge	AE-032	proved-by	AT-010
edge	AE-033	guards	AM-HISTORY-001
edge	AE-033	guards	AM-SEMANTICS-001
edge	AE-033	implemented-in	S3
edge	AE-033	implemented-in	S5
edge	AE-033	proved-by	AT-010
edge	AE-034	guards	AM-SIGN-001
edge	AE-034	implemented-in	S2
edge	AE-034	implemented-in	S3
edge	AE-034	implemented-in	S5
edge	AE-034	proved-by	AT-003
edge	AE-034	proved-by	AT-008
edge	AE-034	proved-by	AT-011
edge	AE-035	guards	AM-RETENTION-001
edge	AE-035	implemented-in	S3
edge	AE-035	implemented-in	S5
edge	AE-035	proved-by	AT-010
edge	AE-035	proved-by	AT-011
edge	AE-036	guards	AM-CORRECT-001
edge	AE-036	guards	AM-HOLD-001
edge	AE-036	guards	AM-LIFE-001
edge	AE-036	implemented-in	S3
edge	AE-036	implemented-in	S5
edge	AE-036	proved-by	AT-011
edge	AE-037	guards	AM-RETENTION-001
edge	AE-037	implemented-in	S1
edge	AE-037	implemented-in	S3
edge	AE-037	implemented-in	S5
edge	AE-037	proved-by	AT-011
edge	AE-038	guards	AM-BACKING-001
edge	AE-038	implemented-in	S3
edge	AE-038	implemented-in	S5
